,GH,Type
1,GH1,Plant_Cell_Wall_Carbohydrate
2,GH2,Plant_Cell_Wall_Carbohydrate
3,GH3,Plant_Cell_Wall_Carbohydrate
4,GH4,Plant_Cell_Wall_Carbohydrate
5,GH5,Plant_Cell_Wall_Carbohydrate
6,GH8,Plant_Cell_Wall_Carbohydrate
7,GH9,Plant_Cell_Wall_Carbohydrate
8,GH11,Plant_Cell_Wall_Carbohydrate
9,GH12,Plant_Cell_Wall_Carbohydrate
10,GH15,Plant_Cell_Wall_Carbohydrate
11,GH16,Plant_Cell_Wall_Carbohydrate
12,GH17,Plant_Cell_Wall_Carbohydrate
13,GH26,Plant_Cell_Wall_Carbohydrate
14,GH27,Plant_Cell_Wall_Carbohydrate
15,GH28,Plant_Cell_Wall_Carbohydrate
16,GH29,Plant_Cell_Wall_Carbohydrate
17,GH36,Plant_Cell_Wall_Carbohydrate
18,GH38,Plant_Cell_Wall_Carbohydrate
19,GH39,Plant_Cell_Wall_Carbohydrate
20,GH43,Plant_Cell_Wall_Carbohydrate
21,GH44,Plant_Cell_Wall_Carbohydrate
22,GH48,Plant_Cell_Wall_Carbohydrate
23,GH51,Plant_Cell_Wall_Carbohydrate
24,GH53,Plant_Cell_Wall_Carbohydrate
25,GH55,Plant_Cell_Wall_Carbohydrate
26,GH67,Plant_Cell_Wall_Carbohydrate
27,GH74,Plant_Cell_Wall_Carbohydrate
28,GH78,Plant_Cell_Wall_Carbohydrate
29,GH85,Plant_Cell_Wall_Carbohydrate
30,GH93,Plant_Cell_Wall_Carbohydrate
31,GH94,Plant_Cell_Wall_Carbohydrate
32,GH95,Plant_Cell_Wall_Carbohydrate
33,GH115,Plant_Cell_Wall_Carbohydrate
34,GH117,Plant_Cell_Wall_Carbohydrate
35,GH120,Plant_Cell_Wall_Carbohydrate
36,GH121,Plant_Cell_Wall_Carbohydrate
37,GH127,Plant_Cell_Wall_Carbohydrate
38,GH151,Plant_Cell_Wall_Carbohydrate
39,PL1,Plant_Cell_Wall_Carbohydrate
40,PL2,Plant_Cell_Wall_Carbohydrate
41,PL6,Plant_Cell_Wall_Carbohydrate
42,PL7,Plant_Cell_Wall_Carbohydrate
43,PL9,Plant_Cell_Wall_Carbohydrate
44,PL11,Plant_Cell_Wall_Carbohydrate
45,PL15,Plant_Cell_Wall_Carbohydrate
46,PL22,Plant_Cell_Wall_Carbohydrate
47,PL27,Plant_Cell_Wall_Carbohydrate
48,GH1,Animal_Carbohydrate
49,GH2,Animal_Carbohydrate
50,GH3,Animal_Carbohydrate
51,GH4,Animal_Carbohydrate
52,GH18,Animal_Carbohydrate
53,GH19,Animal_Carbohydrate
54,GH20,Animal_Carbohydrate
55,GH29,Animal_Carbohydrate
56,GH33,Animal_Carbohydrate
57,GH38,Animal_Carbohydrate
58,GH42,Animal_Carbohydrate
59,GH58,Animal_Carbohydrate
60,GH79,Animal_Carbohydrate
61,GH84,Animal_Carbohydrate
62,GH85,Animal_Carbohydrate
63,GH88,Animal_Carbohydrate
64,GH89,Animal_Carbohydrate
65,GH92,Animal_Carbohydrate
66,GH95,Animal_Carbohydrate
67,GH98,Animal_Carbohydrate
68,GH99,Animal_Carbohydrate
69,GH101,Animal_Carbohydrate
70,GH105,Animal_Carbohydrate
71,GH109,Animal_Carbohydrate
72,GH110,Animal_Carbohydrate
73,GH113,Animal_Carbohydrate
74,GH151,Animal_Carbohydrate
75,PL6,Animal_Carbohydrate
76,PL8,Animal_Carbohydrate
77,PL12,Animal_Carbohydrate
78,PL13,Animal_Carbohydrate
79,PL21,Animal_Carbohydrate
80,GH23,Peptidoglycandf
81,GH24,Peptidoglycandf
82,GH25,Peptidoglycandf
83,GH73,Peptidoglycandf
84,GH102,Peptidoglycandf
85,GH103,Peptidoglycandf
86,GH104,Peptidoglycandf
87,GH108,Peptidoglycandf
88,GH13,Starch_Glycogen
89,GH15,Starch_Glycogen
90,GH31,Starch_Glycogen
91,GH57,Starch_Glycogen
92,GH77,Starch_Glycogen
93,GH32,Sucrose_Fructans
94,GH68,Sucrose_Fructans
95,GH70,Sucrose_Fructans
96,GH91,Sucrose_Fructans
97,GH5,Fungal_Carbohydrates
98,GH8,Fungal_Carbohydrates
99,GH16,Fungal_Carbohydrates
100,GH18,Fungal_Carbohydrates
101,GH19,Fungal_Carbohydrates
102,GH20,Fungal_Carbohydrates
103,GH55,Fungal_Carbohydrates
104,GH64,Fungal_Carbohydrates
105,GH71,Fungal_Carbohydrates
106,GH81,Fungal_Carbohydrates
107,GH43,Fungal_Carbohydrates
108,GH66,Dextran
109,GH70,Dextran
110,GH87,Dextran
111,GH2,Mucin
112,GH20,Mucin
113,GH27,Mucin
114,GH29,Mucin
115,GH33,Mucin
116,GH35,Mucin
117,GH36,Mucin
118,GH95,Mucin
119,GH89,Mucin
120,GH110,Mucin
121,GH129,Mucin
122,GH112,Mucin
123,GH2,HMO
124,GH42,HMO
125,GH29,HMO
126,GH33,HMO
127,GH20,HMO
128,GH112,HMO
